"","state","covid_prop"
"1","AK",0.0626006964294995
"2","AL",0.0789109976324445
"3","AR",0.0742901717921863
"4","AZ",0.0701428207423369
"5","CA",0.063673644418201
"6","CO",0.059782162325691
"7","CT",0.0522090769596678
"8","DE",0.0596336271760797
"9","FL",0.0606630963564136
"10","GA",0.0622269787246836
"11","HI",0.014943788441556
"12","IA",0.0887193261011879
"13","ID",0.077221520674493
"14","IL",0.0765350310982377
"15","IN",0.0757515263244615
"16","KS",0.0763376409883297
"17","KY",0.0623838154260282
"18","LA",0.0678694117388734
"19","MA",0.0541768319307227
"20","MD",0.0462728140715301
"21","ME",0.0179247945214611
"22","MI",0.05917069639409
"23","MN",0.073409385538297
"24","MO",0.0730822550681552
"25","MS",0.074804182034026
"26","MT",0.0754735664371905
"27","NC",0.0540913663024088
"28","ND",0.121219010883186
"29","NE",0.086311489962592
"30","NH",0.03222484492507
"31","NJ",0.0594192699224115
"32","NM",0.0678263833730788
"33","NV",0.0716100869940945
"34","NY",0.0283477452497769
"35","OH",0.0598962629360252
"36","OK",0.0817738620768829
"37","OR",0.0268557849839691
"38","PA",0.0507358298599089
"39","RI",0.0846872413385361
"40","SC",0.0608370192639382
"41","SD",0.111081115291856
"42","TN",0.0879954417370885
"43","TX",0.0575154409325726
"44","UT",0.085114553495684
"45","VA",0.0412972933205891
"46","VT",0.0111751560527283
"47","WA",0.0320281293103941
"48","WI",0.0892283188359332
"49","WV",0.0478118677466835
"50","WY",0.0762611449217623
