"","state_one","state_two","bars_overLap"
"1","AK","AL",67
"2","AK","AR",55
"3","AK","AZ",55
"4","AK","CA",56
"5","AK","CO",56
"6","AK","CT",1
"7","AK","DE",55
"8","AK","FL",152
"9","AK","GA",3
"10","AK","HI",2
"11","AK","IA",56
"12","AK","ID",3
"13","AK","IL",55
"14","AK","IN",55
"15","AK","KS",264
"16","AK","KY",55
"17","AK","LA",2
"18","AK","MA",3
"19","AK","MD",55
"20","AK","ME",57
"21","AK","MI",58
"22","AK","MN",2
"23","AK","MO",255
"24","AK","MS",44
"25","AK","MT",59
"26","AK","NC",2
"27","AK","ND",234
"28","AK","NE",88
"29","AK","NH",55
"30","AK","NJ",54
"31","AK","NM",54
"32","AK","NV",5
"33","AK","NY",55
"34","AK","OH",61
"35","AK","OK",57
"36","AK","OR",63
"37","AK","PA",56
"38","AK","RI",65
"39","AK","SC",61
"40","AK","SD",227
"41","AK","TN",54
"42","AK","TX",55
"43","AK","UT",58
"44","AK","VA",58
"45","AK","VT",55
"46","AK","WA",1
"47","AK","WI",277
"48","AK","WV",9
"49","AK","WY",63
"50","AL","AR",276
"51","AL","AZ",56
"52","AL","CA",88
"53","AL","CO",68
"54","AL","CT",1
"55","AL","DE",278
"56","AL","FL",86
"57","AL","GA",218
"58","AL","HI",201
"59","AL","IA",273
"60","AL","ID",220
"61","AL","IL",271
"62","AL","IN",257
"63","AL","KS",44
"64","AL","KY",226
"65","AL","LA",110
"66","AL","MA",4
"67","AL","MD",266
"68","AL","ME",259
"69","AL","MI",258
"70","AL","MN",180
"71","AL","MO",82
"72","AL","MS",259
"73","AL","MT",284
"74","AL","NC",93
"75","AL","ND",103
"76","AL","NE",213
"77","AL","NH",254
"78","AL","NJ",255
"79","AL","NM",54
"80","AL","NV",217
"81","AL","NY",263
"82","AL","OH",284
"83","AL","OK",282
"84","AL","OR",271
"85","AL","PA",98
"86","AL","RI",288
"87","AL","SC",284
"88","AL","SD",4
"89","AL","TN",275
"90","AL","TX",170
"91","AL","UT",281
"92","AL","VA",283
"93","AL","VT",229
"94","AL","WA",224
"95","AL","WI",53
"96","AL","WV",228
"97","AL","WY",288
"98","AR","AZ",72
"99","AR","CA",102
"100","AR","CO",82
"101","AR","CT",1
"102","AR","DE",284
"103","AR","FL",101
"104","AR","GA",219
"105","AR","HI",201
"106","AR","IA",287
"107","AR","ID",221
"108","AR","IL",285
"109","AR","IN",271
"110","AR","KS",59
"111","AR","KY",240
"112","AR","LA",110
"113","AR","MA",5
"114","AR","MD",280
"115","AR","ME",273
"116","AR","MI",272
"117","AR","MN",180
"118","AR","MO",68
"119","AR","MS",275
"120","AR","MT",270
"121","AR","NC",93
"122","AR","ND",93
"123","AR","NE",229
"124","AR","NH",268
"125","AR","NJ",271
"126","AR","NM",68
"127","AR","NV",233
"128","AR","NY",277
"129","AR","OH",276
"130","AR","OK",276
"131","AR","OR",263
"132","AR","PA",112
"133","AR","RI",272
"134","AR","SC",268
"135","AR","SD",5
"136","AR","TN",283
"137","AR","TX",178
"138","AR","UT",265
"139","AR","VA",277
"140","AR","VT",235
"141","AR","WA",221
"142","AR","WI",55
"143","AR","WV",227
"144","AR","WY",280
"145","AZ","CA",260
"146","AZ","CO",92
"147","AZ","CT",1
"148","AZ","DE",64
"149","AZ","FL",159
"150","AZ","GA",5
"151","AZ","HI",2
"152","AZ","IA",71
"153","AZ","ID",5
"154","AZ","IL",71
"155","AZ","IN",85
"156","AZ","KS",59
"157","AZ","KY",102
"158","AZ","LA",104
"159","AZ","MA",5
"160","AZ","MD",76
"161","AZ","ME",87
"162","AZ","MI",81
"163","AZ","MN",30
"164","AZ","MO",47
"165","AZ","MS",67
"166","AZ","MT",50
"167","AZ","NC",2
"168","AZ","ND",47
"169","AZ","NE",66
"170","AZ","NH",88
"171","AZ","NJ",91
"172","AZ","NM",133
"173","AZ","NV",31
"174","AZ","NY",79
"175","AZ","OH",56
"176","AZ","OK",56
"177","AZ","OR",73
"178","AZ","PA",250
"179","AZ","RI",52
"180","AZ","SC",48
"181","AZ","SD",5
"182","AZ","TN",65
"183","AZ","TX",178
"184","AZ","UT",45
"185","AZ","VA",57
"186","AZ","VT",113
"187","AZ","WA",1
"188","AZ","WI",55
"189","AZ","WV",7
"190","AZ","WY",60
"191","CA","CO",100
"192","CA","CT",1
"193","CA","DE",96
"194","CA","FL",156
"195","CA","GA",35
"196","CA","HI",29
"197","CA","IA",103
"198","CA","ID",35
"199","CA","IL",103
"200","CA","IN",117
"201","CA","KS",59
"202","CA","KY",100
"203","CA","LA",135
"204","CA","MA",4
"205","CA","MD",108
"206","CA","ME",119
"207","CA","MI",113
"208","CA","MN",61
"209","CA","MO",50
"210","CA","MS",97
"211","CA","MT",80
"212","CA","NC",2
"213","CA","ND",46
"214","CA","NE",96
"215","CA","NH",114
"216","CA","NJ",115
"217","CA","NM",103
"218","CA","NV",61
"219","CA","NY",111
"220","CA","OH",88
"221","CA","OK",86
"222","CA","OR",105
"223","CA","PA",282
"224","CA","RI",84
"225","CA","SC",80
"226","CA","SD",4
"227","CA","TN",95
"228","CA","TX",174
"229","CA","UT",77
"230","CA","VA",87
"231","CA","VT",145
"232","CA","WA",32
"233","CA","WI",55
"234","CA","WV",39
"235","CA","WY",92
"236","CO","CT",185
"237","CO","DE",80
"238","CO","FL",87
"239","CO","GA",15
"240","CO","HI",15
"241","CO","IA",87
"242","CO","ID",15
"243","CO","IL",87
"244","CO","IN",101
"245","CO","KS",59
"246","CO","KY",110
"247","CO","LA",15
"248","CO","MA",186
"249","CO","MD",92
"250","CO","ME",101
"251","CO","MI",97
"252","CO","MN",15
"253","CO","MO",44
"254","CO","MS",77
"255","CO","MT",60
"256","CO","NC",95
"257","CO","ND",44
"258","CO","NE",76
"259","CO","NH",104
"260","CO","NJ",101
"261","CO","NM",247
"262","CO","NV",35
"263","CO","NY",95
"264","CO","OH",72
"265","CO","OK",66
"266","CO","OR",74
"267","CO","PA",93
"268","CO","RI",68
"269","CO","SC",62
"270","CO","SD",2
"271","CO","TN",75
"272","CO","TX",73
"273","CO","UT",59
"274","CO","VA",67
"275","CO","VT",80
"276","CO","WA",14
"277","CO","WI",55
"278","CO","WV",21
"279","CO","WY",72
"280","CT","DE",1
"281","CT","FL",4
"282","CT","GA",70
"283","CT","HI",92
"284","CT","IA",1
"285","CT","ID",67
"286","CT","IL",1
"287","CT","IN",1
"288","CT","KS",1
"289","CT","KY",15
"290","CT","LA",81
"291","CT","MA",284
"292","CT","MD",1
"293","CT","ME",1
"294","CT","MI",1
"295","CT","MN",85
"296","CT","MO",1
"297","CT","MS",1
"298","CT","MT",1
"299","CT","NC",200
"300","CT","ND",1
"301","CT","NE",1
"302","CT","NH",1
"303","CT","NJ",1
"304","CT","NM",156
"305","CT","NV",51
"306","CT","NY",1
"307","CT","OH",0
"308","CT","OK",1
"309","CT","OR",1
"310","CT","PA",1
"311","CT","RI",1
"312","CT","SC",1
"313","CT","SD",1
"314","CT","TN",1
"315","CT","TX",1
"316","CT","UT",1
"317","CT","VA",1
"318","CT","VT",1
"319","CT","WA",69
"320","CT","WI",4
"321","CT","WV",64
"322","CT","WY",1
"323","DE","FL",96
"324","DE","GA",215
"325","DE","HI",200
"326","DE","IA",285
"327","DE","ID",217
"328","DE","IL",285
"329","DE","IN",271
"330","DE","KS",54
"331","DE","KY",240
"332","DE","LA",109
"333","DE","MA",1
"334","DE","MD",280
"335","DE","ME",269
"336","DE","MI",272
"337","DE","MN",179
"338","DE","MO",68
"339","DE","MS",267
"340","DE","MT",270
"341","DE","NC",92
"342","DE","ND",89
"343","DE","NE",221
"344","DE","NH",268
"345","DE","NJ",263
"346","DE","NM",65
"347","DE","NV",225
"348","DE","NY",277
"349","DE","OH",284
"350","DE","OK",276
"351","DE","OR",269
"352","DE","PA",106
"353","DE","RI",278
"354","DE","SC",272
"355","DE","SD",1
"356","DE","TN",283
"357","DE","TX",178
"358","DE","UT",269
"359","DE","VA",277
"360","DE","VT",242
"361","DE","WA",224
"362","DE","WI",55
"363","DE","WV",227
"364","DE","WY",282
"365","FL","GA",34
"366","FL","HI",26
"367","FL","IA",103
"368","FL","ID",34
"369","FL","IL",103
"370","FL","IN",103
"371","FL","KS",157
"372","FL","KY",92
"373","FL","LA",89
"374","FL","MA",2
"375","FL","MD",108
"376","FL","ME",104
"377","FL","MI",110
"378","FL","MN",33
"379","FL","MO",153
"380","FL","MS",96
"381","FL","MT",79
"382","FL","NC",5
"383","FL","ND",96
"384","FL","NE",118
"385","FL","NH",100
"386","FL","NJ",100
"387","FL","NM",112
"388","FL","NV",60
"389","FL","NY",109
"390","FL","OH",88
"391","FL","OK",85
"392","FL","OR",90
"393","FL","PA",160
"394","FL","RI",84
"395","FL","SC",79
"396","FL","SD",100
"397","FL","TN",96
"398","FL","TX",166
"399","FL","UT",76
"400","FL","VA",86
"401","FL","VT",96
"402","FL","WA",36
"403","FL","WI",156
"404","FL","WV",38
"405","FL","WY",90
"406","GA","HI",270
"407","GA","IA",216
"408","GA","ID",289
"409","GA","IL",215
"410","GA","IN",204
"411","GA","KS",2
"412","GA","KY",173
"413","GA","LA",179
"414","GA","MA",78
"415","GA","MD",213
"416","GA","ME",206
"417","GA","MI",205
"418","GA","MN",249
"419","GA","MO",23
"420","GA","MS",223
"421","GA","MT",219
"422","GA","NC",162
"423","GA","ND",51
"424","GA","NE",178
"425","GA","NH",201
"426","GA","NJ",206
"427","GA","NM",1
"428","GA","NV",259
"429","GA","NY",210
"430","GA","OH",214
"431","GA","OK",223
"432","GA","OR",201
"433","GA","PA",45
"434","GA","RI",216
"435","GA","SC",217
"436","GA","SD",9
"437","GA","TN",220
"438","GA","TX",109
"439","GA","UT",217
"440","GA","VA",223
"441","GA","VT",166
"442","GA","WA",275
"443","GA","WI",1
"444","GA","WV",280
"445","GA","WY",218
"446","HI","IA",201
"447","HI","ID",267
"448","HI","IL",200
"449","HI","IN",200
"450","HI","KS",2
"451","HI","KY",173
"452","HI","LA",179
"453","HI","MA",86
"454","HI","MD",200
"455","HI","ME",201
"456","HI","MI",197
"457","HI","MN",257
"458","HI","MO",2
"459","HI","MS",201
"460","HI","MT",201
"461","HI","NC",184
"462","HI","ND",48
"463","HI","NE",156
"464","HI","NH",200
"465","HI","NJ",201
"466","HI","NM",1
"467","HI","NV",245
"468","HI","NY",200
"469","HI","OH",199
"470","HI","OK",201
"471","HI","OR",186
"472","HI","PA",32
"473","HI","RI",201
"474","HI","SC",201
"475","HI","SD",2
"476","HI","TN",199
"477","HI","TX",91
"478","HI","UT",201
"479","HI","VA",201
"480","HI","VT",151
"481","HI","WA",267
"482","HI","WI",4
"483","HI","WV",264
"484","HI","WY",201
"485","IA","ID",218
"486","IA","IL",290
"487","IA","IN",276
"488","IA","KS",59
"489","IA","KY",245
"490","IA","LA",110
"491","IA","MA",2
"492","IA","MD",285
"493","IA","ME",276
"494","IA","MI",277
"495","IA","MN",180
"496","IA","MO",63
"497","IA","MS",274
"498","IA","MT",265
"499","IA","NC",93
"500","IA","ND",90
"501","IA","NE",228
"502","IA","NH",273
"503","IA","NJ",270
"504","IA","NM",71
"505","IA","NV",232
"506","IA","NY",282
"507","IA","OH",277
"508","IA","OK",271
"509","IA","OR",264
"510","IA","PA",113
"511","IA","RI",273
"512","IA","SC",267
"513","IA","SD",2
"514","IA","TN",278
"515","IA","TX",173
"516","IA","UT",264
"517","IA","VA",272
"518","IA","VT",236
"519","IA","WA",219
"520","IA","WI",55
"521","IA","WV",226
"522","IA","WY",277
"523","ID","IL",217
"524","ID","IN",204
"525","ID","KS",2
"526","ID","KY",173
"527","ID","LA",176
"528","ID","MA",75
"529","ID","MD",213
"530","ID","ME",206
"531","ID","MI",205
"532","ID","MN",246
"533","ID","MO",25
"534","ID","MS",223
"535","ID","MT",221
"536","ID","NC",159
"537","ID","ND",51
"538","ID","NE",179
"539","ID","NH",201
"540","ID","NJ",206
"541","ID","NM",1
"542","ID","NV",260
"543","ID","NY",210
"544","ID","OH",216
"545","ID","OK",226
"546","ID","OR",203
"547","ID","PA",45
"548","ID","RI",218
"549","ID","SC",219
"550","ID","SD",10
"551","ID","TN",222
"552","ID","TX",111
"553","ID","UT",219
"554","ID","VA",225
"555","ID","VT",168
"556","ID","WA",276
"557","ID","WI",1
"558","ID","WV",281
"559","ID","WY",220
"560","IL","IN",278
"561","IL","KS",58
"562","IL","KY",247
"563","IL","LA",109
"564","IL","MA",1
"565","IL","MD",287
"566","IL","ME",276
"567","IL","MI",279
"568","IL","MN",179
"569","IL","MO",61
"570","IL","MS",274
"571","IL","MT",263
"572","IL","NC",92
"573","IL","ND",89
"574","IL","NE",228
"575","IL","NH",275
"576","IL","NJ",270
"577","IL","NM",72
"578","IL","NV",232
"579","IL","NY",284
"580","IL","OH",277
"581","IL","OK",269
"582","IL","OR",262
"583","IL","PA",113
"584","IL","RI",271
"585","IL","SC",265
"586","IL","SD",1
"587","IL","TN",276
"588","IL","TX",171
"589","IL","UT",262
"590","IL","VA",270
"591","IL","VT",235
"592","IL","WA",218
"593","IL","WI",55
"594","IL","WV",224
"595","IL","WY",275
"596","IN","KS",58
"597","IN","KY",261
"598","IN","LA",102
"599","IN","MA",1
"600","IN","MD",283
"601","IN","ME",290
"602","IN","MI",285
"603","IN","MN",176
"604","IN","MO",47
"605","IN","MS",266
"606","IN","MT",249
"607","IN","NC",92
"608","IN","ND",89
"609","IN","NE",220
"610","IN","NH",289
"611","IN","NJ",284
"612","IN","NM",86
"613","IN","NV",218
"614","IN","NY",286
"615","IN","OH",263
"616","IN","OK",255
"617","IN","OR",248
"618","IN","PA",113
"619","IN","RI",257
"620","IN","SC",251
"621","IN","SD",1
"622","IN","TN",262
"623","IN","TX",157
"624","IN","UT",248
"625","IN","VA",256
"626","IN","VT",221
"627","IN","WA",204
"628","IN","WI",55
"629","IN","WV",210
"630","IN","WY",261
"631","KS","KY",58
"632","KS","LA",2
"633","KS","MA",2
"634","KS","MD",58
"635","KS","ME",59
"636","KS","MI",61
"637","KS","MN",2
"638","KS","MO",236
"639","KS","MS",64
"640","KS","MT",37
"641","KS","NC",2
"642","KS","ND",208
"643","KS","NE",102
"644","KS","NH",58
"645","KS","NJ",59
"646","KS","NM",60
"647","KS","NV",19
"648","KS","NY",58
"649","KS","OH",46
"650","KS","OK",48
"651","KS","OR",48
"652","KS","PA",59
"653","KS","RI",42
"654","KS","SC",37
"655","KS","SD",222
"656","KS","TN",57
"657","KS","TX",55
"658","KS","UT",34
"659","KS","VA",48
"660","KS","VT",54
"661","KS","WA",1
"662","KS","WI",265
"663","KS","WV",2
"664","KS","WY",48
"665","KY","LA",85
"666","KY","MA",15
"667","KY","MD",252
"668","KY","ME",259
"669","KY","MI",254
"670","KY","MN",145
"671","KY","MO",43
"672","KY","MS",235
"673","KY","MT",218
"674","KY","NC",106
"675","KY","ND",89
"676","KY","NE",189
"677","KY","NH",264
"678","KY","NJ",259
"679","KY","NM",115
"680","KY","NV",191
"681","KY","NY",255
"682","KY","OH",232
"683","KY","OK",224
"684","KY","OR",217
"685","KY","PA",96
"686","KY","RI",226
"687","KY","SC",220
"688","KY","SD",1
"689","KY","TN",231
"690","KY","TX",146
"691","KY","UT",217
"692","KY","VA",225
"693","KY","VT",190
"694","KY","WA",173
"695","KY","WI",55
"696","KY","WV",179
"697","KY","WY",230
"698","LA","MA",75
"699","LA","MD",109
"700","LA","ME",103
"701","LA","MI",106
"702","LA","MN",168
"703","LA","MO",13
"704","LA","MS",110
"705","LA","MT",110
"706","LA","NC",152
"707","LA","ND",41
"708","LA","NE",97
"709","LA","NH",99
"710","LA","NJ",100
"711","LA","NM",18
"712","LA","NV",166
"713","LA","NY",108
"714","LA","OH",108
"715","LA","OK",110
"716","LA","OR",109
"717","LA","PA",139
"718","LA","RI",110
"719","LA","SC",110
"720","LA","SD",2
"721","LA","TN",108
"722","LA","TX",186
"723","LA","UT",110
"724","LA","VA",110
"725","LA","VT",74
"726","LA","WA",176
"727","LA","WI",4
"728","LA","WV",173
"729","LA","WY",110
"730","MA","MD",1
"731","MA","ME",3
"732","MA","MI",1
"733","MA","MN",79
"734","MA","MO",8
"735","MA","MS",9
"736","MA","MT",5
"737","MA","NC",194
"738","MA","ND",5
"739","MA","NE",9
"740","MA","NH",1
"741","MA","NJ",6
"742","MA","NM",156
"743","MA","NV",51
"744","MA","NY",1
"745","MA","OH",0
"746","MA","OK",9
"747","MA","OR",2
"748","MA","PA",4
"749","MA","RI",2
"750","MA","SC",3
"751","MA","SD",9
"752","MA","TN",8
"753","MA","TX",5
"754","MA","UT",3
"755","MA","VA",9
"756","MA","VT",1
"757","MA","WA",61
"758","MA","WI",1
"759","MA","WV",66
"760","MA","WY",4
"761","MD","ME",281
"762","MD","MI",284
"763","MD","MN",179
"764","MD","MO",56
"765","MD","MS",275
"766","MD","MT",258
"767","MD","NC",92
"768","MD","ND",89
"769","MD","NE",229
"770","MD","NH",280
"771","MD","NJ",275
"772","MD","NM",77
"773","MD","NV",227
"774","MD","NY",289
"775","MD","OH",272
"776","MD","OK",264
"777","MD","OR",257
"778","MD","PA",118
"779","MD","RI",266
"780","MD","SC",260
"781","MD","SD",1
"782","MD","TN",271
"783","MD","TX",166
"784","MD","UT",257
"785","MD","VA",265
"786","MD","VT",230
"787","MD","WA",213
"788","MD","WI",55
"789","MD","WV",219
"790","MD","WY",270
"791","ME","MI",283
"792","ME","MN",177
"793","ME","MO",49
"794","ME","MS",268
"795","ME","MT",251
"796","ME","NC",93
"797","ME","ND",91
"798","ME","NE",222
"799","ME","NH",287
"800","ME","NJ",286
"801","ME","NM",86
"802","ME","NV",220
"803","ME","NY",284
"804","ME","OH",261
"805","ME","OK",257
"806","ME","OR",248
"807","ME","PA",115
"808","ME","RI",257
"809","ME","SC",253
"810","ME","SD",3
"811","ME","TN",264
"812","ME","TX",159
"813","ME","UT",250
"814","ME","VA",258
"815","ME","VT",220
"816","ME","WA",204
"817","ME","WI",55
"818","ME","WV",212
"819","ME","WY",263
"820","MI","MN",176
"821","MI","MO",54
"822","MI","MS",267
"823","MI","MT",250
"824","MI","NC",89
"825","MI","ND",92
"826","MI","NE",227
"827","MI","NH",282
"828","MI","NJ",277
"829","MI","NM",82
"830","MI","NV",219
"831","MI","NY",287
"832","MI","OH",264
"833","MI","OK",256
"834","MI","OR",249
"835","MI","PA",117
"836","MI","RI",258
"837","MI","SC",252
"838","MI","SD",4
"839","MI","TN",263
"840","MI","TX",161
"841","MI","UT",249
"842","MI","VA",257
"843","MI","VT",222
"844","MI","WA",205
"845","MI","WI",58
"846","MI","WV",211
"847","MI","WY",262
"848","MN","MO",9
"849","MN","MS",180
"850","MN","MT",180
"851","MN","NC",149
"852","MN","ND",20
"853","MN","NE",135
"854","MN","NH",173
"855","MN","NJ",174
"856","MN","NM",1
"857","MN","NV",224
"858","MN","NY",179
"859","MN","OH",178
"860","MN","OK",180
"861","MN","OR",191
"862","MN","PA",67
"863","MN","RI",180
"864","MN","SC",180
"865","MN","SD",2
"866","MN","TN",178
"867","MN","TX",70
"868","MN","UT",180
"869","MN","VA",180
"870","MN","VT",186
"871","MN","WA",246
"872","MN","WI",4
"873","MN","WV",243
"874","MN","WY",180
"875","MO","MS",57
"876","MO","MT",90
"877","MO","NC",2
"878","MO","ND",215
"879","MO","NE",101
"880","MO","NH",44
"881","MO","NJ",49
"882","MO","NM",43
"883","MO","NV",23
"884","MO","NY",53
"885","MO","OH",74
"886","MO","OK",80
"887","MO","OR",76
"888","MO","PA",57
"889","MO","RI",82
"890","MO","SC",88
"891","MO","SD",207
"892","MO","TN",77
"893","MO","TX",72
"894","MO","UT",85
"895","MO","VA",81
"896","MO","VT",68
"897","MO","WA",25
"898","MO","WI",242
"899","MO","WV",25
"900","MO","WY",78
"901","MS","MT",253
"902","MS","NC",93
"903","MS","ND",82
"904","MS","NE",239
"905","MS","NH",263
"906","MS","NJ",268
"907","MS","NM",63
"908","MS","NV",233
"909","MS","NY",272
"910","MS","OH",259
"911","MS","OK",268
"912","MS","OR",246
"913","MS","PA",107
"914","MS","RI",255
"915","MS","SC",251
"916","MS","SD",9
"917","MS","TN",272
"918","MS","TX",161
"919","MS","UT",248
"920","MS","VA",268
"921","MS","VT",218
"922","MS","WA",215
"923","MS","WI",44
"924","MS","WV",217
"925","MS","WY",263
"926","MT","NC",93
"927","MT","ND",111
"928","MT","NE",207
"929","MT","NH",246
"930","MT","NJ",249
"931","MT","NM",46
"932","MT","NV",216
"933","MT","NY",255
"934","MT","OH",276
"935","MT","OK",276
"936","MT","OR",263
"937","MT","PA",90
"938","MT","RI",284
"939","MT","SC",290
"940","MT","SD",5
"941","MT","TN",269
"942","MT","TX",164
"943","MT","UT",287
"944","MT","VA",277
"945","MT","VT",221
"946","MT","WA",224
"947","MT","WI",46
"948","MT","WV",227
"949","MT","WY",280
"950","NC","ND",48
"951","NC","NE",66
"952","NC","NH",92
"953","NC","NJ",93
"954","NC","NM",65
"955","NC","NV",143
"956","NC","NY",92
"957","NC","OH",91
"958","NC","OK",93
"959","NC","OR",78
"960","NC","PA",2
"961","NC","RI",93
"962","NC","SC",93
"963","NC","SD",2
"964","NC","TN",91
"965","NC","TX",81
"966","NC","UT",93
"967","NC","VA",93
"968","NC","VT",43
"969","NC","WA",159
"970","NC","WI",4
"971","NC","WV",156
"972","NC","WY",93
"973","ND","NE",110
"974","ND","NH",89
"975","ND","NJ",92
"976","ND","NM",43
"977","ND","NV",51
"978","ND","NY",89
"979","ND","OH",95
"980","ND","OK",95
"981","ND","OR",82
"982","ND","PA",46
"983","ND","RI",103
"984","ND","SC",109
"985","ND","SD",183
"986","ND","TN",88
"987","ND","TX",93
"988","ND","UT",112
"989","ND","VA",96
"990","ND","VT",43
"991","ND","WA",47
"992","ND","WI",221
"993","ND","WV",53
"994","ND","WY",99
"995","NE","NH",217
"996","NE","NJ",222
"997","NE","NM",62
"998","NE","NV",188
"999","NE","NY",226
"1000","NE","OH",213
"1001","NE","OK",223
"1002","NE","OR",200
"1003","NE","PA",106
"1004","NE","RI",209
"1005","NE","SC",205
"1006","NE","SD",62
"1007","NE","TN",230
"1008","NE","TX",145
"1009","NE","UT",202
"1010","NE","VA",222
"1011","NE","VT",180
"1012","NE","WA",170
"1013","NE","WI",88
"1014","NE","WV",172
"1015","NE","WY",217
"1016","NH","NJ",287
"1017","NH","NM",89
"1018","NH","NV",215
"1019","NH","NY",283
"1020","NH","OH",260
"1021","NH","OK",252
"1022","NH","OR",245
"1023","NH","PA",110
"1024","NH","RI",254
"1025","NH","SC",248
"1026","NH","SD",1
"1027","NH","TN",259
"1028","NH","TX",154
"1029","NH","UT",245
"1030","NH","VA",253
"1031","NH","VT",218
"1032","NH","WA",201
"1033","NH","WI",55
"1034","NH","WV",207
"1035","NH","WY",258
"1036","NJ","NM",87
"1037","NJ","NV",219
"1038","NJ","NY",278
"1039","NJ","OH",255
"1040","NJ","OK",257
"1041","NJ","OR",242
"1042","NJ","PA",111
"1043","NJ","RI",251
"1044","NJ","SC",247
"1045","NJ","SD",6
"1046","NJ","TN",264
"1047","NJ","TX",157
"1048","NJ","UT",244
"1049","NJ","VA",258
"1050","NJ","VT",214
"1051","NJ","WA",201
"1052","NJ","WI",54
"1053","NJ","WV",206
"1054","NJ","WY",259
"1055","NM","NV",21
"1056","NM","NY",80
"1057","NM","OH",57
"1058","NM","OK",52
"1059","NM","OR",58
"1060","NM","PA",93
"1061","NM","RI",52
"1062","NM","SC",47
"1063","NM","SD",1
"1064","NM","TN",61
"1065","NM","TX",98
"1066","NM","UT",44
"1067","NM","VA",53
"1068","NM","VT",66
"1069","NM","WA",1
"1070","NM","WI",56
"1071","NM","WV",6
"1072","NM","WY",58
"1073","NV","NY",224
"1074","NV","OH",217
"1075","NV","OK",222
"1076","NV","OR",204
"1077","NV","PA",71
"1078","NV","RI",213
"1079","NV","SC",214
"1080","NV","SD",5
"1081","NV","TN",227
"1082","NV","TX",131
"1083","NV","UT",214
"1084","NV","VA",222
"1085","NV","VT",176
"1086","NV","WA",262
"1087","NV","WI",5
"1088","NV","WV",260
"1089","NV","WY",221
"1090","NY","OH",269
"1091","NY","OK",261
"1092","NY","OR",254
"1093","NY","PA",119
"1094","NY","RI",263
"1095","NY","SC",257
"1096","NY","SD",1
"1097","NY","TN",268
"1098","NY","TX",163
"1099","NY","UT",254
"1100","NY","VA",262
"1101","NY","VT",227
"1102","NY","WA",210
"1103","NY","WI",55
"1104","NY","WV",216
"1105","NY","WY",267
"1106","OH","OK",282
"1107","OH","OR",275
"1108","OH","PA",98
"1109","OH","RI",284
"1110","OH","SC",278
"1111","OH","SD",0
"1112","OH","TN",275
"1113","OH","TX",170
"1114","OH","UT",275
"1115","OH","VA",283
"1116","OH","VT",234
"1117","OH","WA",223
"1118","OH","WI",54
"1119","OH","WV",226
"1120","OH","WY",288
"1121","OK","OR",269
"1122","OK","PA",96
"1123","OK","RI",278
"1124","OK","SC",274
"1125","OK","SD",10
"1126","OK","TN",281
"1127","OK","TX",170
"1128","OK","UT",271
"1129","OK","VA",291
"1130","OK","VT",227
"1131","OK","WA",224
"1132","OK","WI",50
"1133","OK","WV",223
"1134","OK","WY",286
"1135","OR","PA",115
"1136","OR","RI",271
"1137","OR","SC",265
"1138","OR","SD",2
"1139","OR","TN",262
"1140","OR","TX",157
"1141","OR","UT",262
"1142","OR","VA",270
"1143","OR","VT",250
"1144","OR","WA",209
"1145","OR","WI",55
"1146","OR","WV",213
"1147","OR","WY",275
"1148","PA","RI",94
"1149","PA","SC",90
"1150","PA","SD",4
"1151","PA","TN",105
"1152","PA","TX",178
"1153","PA","UT",87
"1154","PA","VA",97
"1155","PA","VT",155
"1156","PA","WA",42
"1157","PA","WI",55
"1158","PA","WV",49
"1159","PA","WY",102
"1160","RI","SC",286
"1161","RI","SD",2
"1162","RI","TN",271
"1163","RI","TX",166
"1164","RI","UT",283
"1165","RI","VA",279
"1166","RI","VT",229
"1167","RI","WA",224
"1168","RI","WI",51
"1169","RI","WV",228
"1170","RI","WY",284
"1171","SC","SD",3
"1172","SC","TN",267
"1173","SC","TX",162
"1174","SC","UT",289
"1175","SC","VA",275
"1176","SC","VT",223
"1177","SC","WA",224
"1178","SC","WI",46
"1179","SC","WV",229
"1180","SC","WY",280
"1181","SD","TN",10
"1182","SD","TX",5
"1183","SD","UT",3
"1184","SD","VA",9
"1185","SD","VT",1
"1186","SD","WA",1
"1187","SD","WI",234
"1188","SD","WV",3
"1189","SD","WY",4
"1190","TN","TX",177
"1191","TN","UT",264
"1192","TN","VA",282
"1193","TN","VT",236
"1194","TN","WA",222
"1195","TN","WI",54
"1196","TN","WV",222
"1197","TN","WY",279
"1198","TX","UT",159
"1199","TX","VA",171
"1200","TX","VT",129
"1201","TX","WA",114
"1202","TX","WI",55
"1203","TX","WV",117
"1204","TX","WY",174
"1205","UT","VA",272
"1206","UT","VT",220
"1207","UT","WA",224
"1208","UT","WI",43
"1209","UT","WV",229
"1210","UT","WY",277
"1211","VA","VT",228
"1212","VA","WA",224
"1213","VA","WI",51
"1214","VA","WV",223
"1215","VA","WY",287
"1216","VT","WA",175
"1217","VT","WI",56
"1218","VT","WV",178
"1219","VT","WY",233
"1220","WA","WI",4
"1221","WA","WV",281
"1222","WA","WY",224
"1223","WI","WV",5
"1224","WI","WY",55
"1225","WV","WY",228
